pair_a,pair_b,scope,metric,value,envelope,zero_case,within
single_baseline_06,dual_baseline_11,26,normalized_max_abs,0.005426074685614532,0.16509247524793977,neither_zero,True
single_baseline_06,dual_baseline_11,26,cosine_error,5.368509636838326e-09,4.597282226015409e-06,neither_zero,True
single_baseline_06,dual_baseline_11,26,log_norm_ratio,3.330949530294054e-07,2.4824088155444077e-05,neither_zero,True
single_baseline_06,dual_baseline_11,28,relative_l2,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,28,max_abs,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,28,normalized_max_abs,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,28,cosine_error,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,28,log_norm_ratio,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,29,relative_l2,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,29,max_abs,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,29,normalized_max_abs,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,29,cosine_error,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,29,log_norm_ratio,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,30,relative_l2,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,30,max_abs,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,30,normalized_max_abs,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,30,cosine_error,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,30,log_norm_ratio,0.0,0.0,neither_zero,True
single_baseline_06,dual_baseline_11,global,relative_l2,0.06763299917082644,0.07576209242758418,neither_zero,True
single_baseline_06,dual_baseline_11,global,max_abs,0.005961989285424352,0.005976773798465729,neither_zero,True
single_baseline_06,dual_baseline_11,global,normalized_max_abs,1.9873369937030723,1.9922651826504838,neither_zero,True
single_baseline_06,dual_baseline_11,global,cosine_error,0.0022871158805649605,0.002869989563512809,neither_zero,True
single_baseline_06,dual_baseline_11,global,log_norm_ratio,2.008717088748576e-06,2.5695636726825657e-05,neither_zero,True
single_baseline_06,dual_baseline_12,0,relative_l2,0.05160949697177142,0.06824693312551014,neither_zero,True
single_baseline_06,dual_baseline_12,0,max_abs,0.0059430517721921206,0.0059624831192195415,neither_zero,True
single_baseline_06,dual_baseline_12,0,normalized_max_abs,1.9810386112651044,1.9875157967593196,neither_zero,True
single_baseline_06,dual_baseline_12,0,cosine_error,0.0013319448296759129,0.0023289119890768095,neither_zero,True
single_baseline_06,dual_baseline_12,0,log_norm_ratio,0.00013839026688763936,0.00013442475574679274,neither_zero,False
single_baseline_06,dual_baseline_12,1,relative_l2,0.10729740142130977,0.13775838756793352,neither_zero,True
single_baseline_06,dual_baseline_12,1,max_abs,0.005904983961954713,0.005959174828603864,neither_zero,True
single_baseline_06,dual_baseline_12,1,normalized_max_abs,1.9683906047673436,1.9864546474587708,neither_zero,True
single_baseline_06,dual_baseline_12,1,cosine_error,0.005757629074338189,0.009490543321821088,neither_zero,True
single_baseline_06,dual_baseline_12,1,log_norm_ratio,0.00022371376038900597,0.000354146493600735,neither_zero,True
single_baseline_06,dual_baseline_12,2,relative_l2,0.07208049607905362,0.09472783252409434,neither_zero,True
single_baseline_06,dual_baseline_12,2,max_abs,0.005948483711108565,0.005975238047540188,neither_zero,True
single_baseline_06,dual_baseline_12,2,normalized_max_abs,1.9828537399375106,1.9917722774521038,neither_zero,True
single_baseline_06,dual_baseline_12,2,cosine_error,0.002597885062047278,0.004487133243832653,neither_zero,True
single_baseline_06,dual_baseline_12,2,log_norm_ratio,3.335882021737354e-05,0.0001280474477327828,neither_zero,True
single_baseline_06,dual_baseline_12,4,relative_l2,0.10701192765436852,0.13372897703352327,neither_zero,True
single_baseline_06,dual_baseline_12,4,max_abs,0.005973746534436941,0.005976773798465729,neither_zero,True
single_baseline_06,dual_baseline_12,4,normalized_max_abs,1.991286845376392,1.9922961072686851,neither_zero,True
single_baseline_06,dual_baseline_12,4,cosine_error,0.005725805515854998,0.008942036081358573,neither_zero,True
single_baseline_06,dual_baseline_12,4,log_norm_ratio,5.09950646640578e-06,0.0001512792312364743,neither_zero,True
single_baseline_06,dual_baseline_12,5,relative_l2,0.09232767712042389,0.11086688207218229,neither_zero,True
single_baseline_06,dual_baseline_12,5,max_abs,0.005940638016909361,0.005959352012723684,neither_zero,True
