panel_index,document_id,original_16,Native_INT8,Hadamard,Dense_State,Dense_Functional,Hadamard_minus_Dense_State,Hadamard_minus_Dense_Functional
51,wikitext2raw-test-051,False,0.001238096758171432,0.0015633943230253,0.0015513983352335116,0.0014604907215385093,1.1995987791788357e-05,0.0001029036014867906
52,wikitext2raw-test-052,False,0.0016195190786044884,0.0027940110803039114,0.003417005219339122,0.0021014893743737536,-0.0006229941390352104,0.0006925217059301578
53,wikitext2raw-test-053,False,0.0013603137091109157,0.0014423419213256948,0.002835348590302712,0.0018909210981707194,-0.0013930066689770175,-0.0004485791768450247
54,wikitext2raw-test-054,False,0.0011727106163927214,0.006345921766891064,0.01215296111784153,0.007058629140402896,-0.0058070393509504666,-0.0007127073735118325
55,wikitext2raw-test-055,False,0.0013145617230012198,0.004727537055052065,0.0038054485258891056,0.0034876164795211414,0.0009220885291629593,0.0012399205755309235
56,wikitext2raw-test-056,False,0.0020914554512494413,0.0023581504900817,0.0012736681315143915,0.0022990679139028307,0.0010844823585673083,5.908257617886917e-05
57,wikitext2raw-test-057,False,0.001734501143228116,0.002339661901901058,0.0018628971550593476,0.0016302240193880155,0.0004767647468417104,0.0007094378825130425
58,wikitext2raw-test-058,False,0.0015788791056043619,0.0034136936750813426,0.0031645315196894485,0.0029151689877477383,0.00024916215539189405,0.0004985246873336043
59,wikitext2raw-test-059,False,0.00045987980845850647,0.0018724091084056174,0.0018851788964803838,0.0016390930532212424,-1.27697880747664e-05,0.000233316055184375
60,wikitext2raw-test-060,False,0.000790017710692262,0.004493372306533847,0.004811505663583805,0.003983803451931843,-0.00031813335704995813,0.0005095688546020039
61,wikitext2raw-test-061,False,0.0024045302913770334,0.0060814767232619405,0.0030984754178454864,0.006074411600441342,0.002983001305416454,7.065122820598853e-06
62,wikitext2raw-test-062,False,0.0008533271687292296,0.0016617165251594224,0.0011544598646436297,0.0015359582171293469,0.0005072566605157927,0.00012575830803007552
63,wikitext2raw-test-063,False,0.00509374750743332,0.0016408766571507519,0.003469849995944405,0.0026013547047930513,-0.0018289733387936533,-0.0009604780476422995
