condition,phase,problem_id,token,logit_relative_l2,logit_cosine,logit_top1_match,logit_top20_overlap,logit_nonfinite,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
identity,primary,60,20,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000245571136475,0
identity,primary,60,21,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000262260437012,0
identity,primary,60,22,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000314116477966,0
identity,primary,60,23,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000333189964294,0
identity,primary,60,24,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000320672988892,0
identity,primary,60,25,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000284910202026,0
identity,primary,60,26,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000258088111877,0
identity,primary,60,27,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000256299972534,0
identity,primary,60,28,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000278949737549,0
identity,primary,60,29,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000264048576355,0
identity,primary,60,30,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000244975090027,0
identity,primary,60,31,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000219941139221,0
identity,primary,60,32,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000231862068176,0
identity,primary,60,33,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.000020682811737,0
identity,primary,60,34,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.000025749206543,0
identity,primary,60,35,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000274777412415,0
identity,primary,60,36,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.000019907951355,0
identity,primary,60,37,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.000023901462555,0
identity,primary,60,38,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000234842300415,0
identity,primary,60,39,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000253915786743,0
identity,primary,60,40,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000226497650146,0
identity,primary,60,41,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000265836715698,0
identity,primary,60,42,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000269412994385,0
identity,primary,60,43,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000224709510803,0
identity,primary,60,44,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000228881835938,0
identity,primary,60,45,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000264048576355,0
identity,primary,60,46,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000249147415161,0
identity,primary,60,47,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000252723693848,0
identity,primary,60,48,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000028669834137,0
identity,primary,60,49,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000320672988892,0
identity,primary,60,50,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.000030755996704,0
identity,primary,60,51,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000279545783997,0
identity,primary,60,52,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000205636024475,0
identity,primary,60,53,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.000026285648346,0
identity,primary,60,54,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000242590904236,0
identity,primary,60,55,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000261664390564,0
identity,primary,60,56,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000243186950684,0
identity,primary,60,57,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000027596950531,0
identity,primary,60,58,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000260472297668,0
identity,primary,60,59,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000267624855042,0
identity,primary,60,60,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000249147415161,0
identity,primary,60,61,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000253915786743,0
identity,primary,60,62,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000272989273071,0
identity,primary,60,63,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000281929969788,0
identity,primary,60,64,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000287890434265,0
identity,primary,60,65,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000290274620056,0
identity,primary,60,66,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000247955322266,0
identity,primary,60,67,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000256299972534,0
identity,primary,60,68,0.0,1.0,1.0,1.0,0,0.0,0.0,1.00002783536911,0
identity,primary,60,69,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000205039978027,0
identity,primary,60,70,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000240206718445,0
identity,primary,60,71,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000306963920593,0
identity,primary,60,72,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000256896018982,0
identity,primary,60,73,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000027060508728,0
identity,primary,60,74,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000265836715698,0
identity,primary,60,75,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000265836715698,0
