condition,layer_id,input_rel_l2,rotation_rel_l2,core_rel_l2,post_norm_rel_l2,post_gate_rel_l2,out_proj_rel_l2
hadamard,9,0.028449885547161102,0.04275751858949661,0.03838052600622177,0.04985060170292854,0.010987309738993645,0.051023513078689575
r0,0,0.0,0.0017067918088287115,0.0021834480576217175,0.0031551856081932783,0.0,0.0030850726179778576
r0,1,0.0036621445324271917,0.004843739327043295,0.004175160545855761,0.005917813628911972,0.0018424856243655086,0.004730517044663429
r0,10,0.028304532170295715,0.034364499151706696,0.03721363842487335,0.03841879591345787,0.010112636722624302,0.04584825783967972
r0,12,0.03290143609046936,0.040520112961530685,0.050148364156484604,0.059547100216150284,0.011036701500415802,0.05694621056318283
r0,13,0.18541274964809418,0.11414971947669983,0.1562645137310028,0.23312196135520935,0.06282693147659302,0.25488340854644775
r0,14,0.17038778960704803,0.05105181410908699,0.0970895066857338,0.11481356620788574,0.06542111188173294,0.1227807104587555
r0,16,0.21960239112377167,0.10345490276813507,0.15832214057445526,0.1975279152393341,0.0867333710193634,0.18038299679756165
r0,17,0.20507146418094635,0.11728912591934204,0.19586767256259918,0.3113158643245697,0.08838920295238495,0.31595954298973083
r0,18,0.22429990768432617,0.09090979397296906,0.12748846411705017,0.18114686012268066,0.0740433782339096,0.18766175210475922
r0,2,0.007021929137408733,0.0054532852955162525,0.005094329360872507,0.006080493330955505,0.003039011498913169,0.007445887662470341
r0,20,0.2156231701374054,0.06449218839406967,0.1918216496706009,0.20327626168727875,0.08427461981773376,0.23348945379257202
r0,21,0.22388988733291626,0.10765024274587631,0.13610239326953888,0.20404602587223053,0.05870085582137108,0.2022843062877655
r0,22,0.22692906856536865,0.0902390331029892,0.10726554691791534,0.14073579013347626,0.05718856304883957,0.15030492842197418
r0,4,0.011898054741322994,0.008613811805844307,0.014743944630026817,0.011373385787010193,0.004963361658155918,0.014082704670727253
r0,5,0.013434466905891895,0.010053438134491444,0.011043881066143513,0.015471406280994415,0.0052551147527992725,0.019601324573159218
r0,6,0.015049522742629051,0.023689577355980873,0.03418375551700592,0.03811927139759064,0.0056297327391803265,0.046440500766038895
r0,8,0.028725162148475647,0.029346425086259842,0.07158149778842926,0.04056864604353905,0.010049240663647652,0.04871999844908714
r0,9,0.028472015634179115,0.041162531822919846,0.03755483031272888,0.0487646758556366,0.01032217126339674,0.04966941848397255
r1,0,0.0,0.0016802834579721093,0.002383316634222865,0.002910552779212594,0.0,0.0029311904218047857
